SourcedStatement,SourceType,Name,Title,Justification
“The Elections Code and Oakland Ordinances only require that registered voters residing within the District sign the petition.,Unnamed Group of People,the lawyers,,"Love’s lawyers, from the political law firm Kaufman Legal Group"
"The three individuals who signed the nomination petition but did not have their signatures counted met these basic requirements and, in addition, substantially complied with the applicable law.”",Unnamed Group of People,the lawyers,,"Love’s lawyers, from the political law firm Kaufman Legal Group"
The county attorneys countered in a brief that the state election code deems signatures on a nomination form invalid if they don’t include a signature and a printed name and if the address of the candidate’s supporter is not consistent with their voter registration form.,Unnamed Group of People,The county attorneys,,
Love’s lawyers argued that the same courtesy should apply to signatures for council candidates.,Unnamed Group of People,Love’s lawyers,,from the political law firm Kaufman Legal Group
The lawyers asked the court to direct the registrar to validate those signatures and place Love on the Nov. 5 ballot.,Unnamed Group of People,The lawyers,,"Love’s lawyers, from the political law firm Kaufman Legal Group"
"After hearing both sides this morning in county court, Alameda County Superior Court Judge Michael Markman said he would issue his ruling by 3 p.m. today.",Unnamed Group of People,both sides,,
"The lawyer representing Love said that the judge could limit his ruling to the type of unusual last-minute circumstance this represents, in which a candidate had only a couple of days to gather signatures.",Unnamed Group of People,The lawyer representing Love,,
"Her lawyers also argued that the district has a low number of registered voters, making it harder for her to secure as many signatures.",Unnamed Group of People,Her lawyers,,"Love’s lawyers, from the political law firm Kaufman Legal Group"
"After Love’s lawyers submitted their petition on Aug. 20, the Alameda Court originally set a conference for September 24, but lawyers for the county asked for the hearing to be moved up to today, to ensure there was enough time to create the ballots.",Unnamed Group of People,lawyers for the county,,
She thanked the Oakland City Clerk and the city attorney for helping her through the process.,Unnamed Group of People,the Oakland City Clerk and the city attorney,,
The message was cheered on by several community members and organizations such as the East Oakland Collective nonprofit.,Unnamed Group of People,several community members and organizations,,
