No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Descriptors,Source Justification
17,"Nikita Popat, an urban expert on homelessness at the NGO Urban Management Centre, explains the increased impact of heat on homeless women. “The constant vigilance women maintain deprives the body of rest and recovery during extreme heat,” she says.",Named Person,Nikita Popat,urban expert on homelessness at the NGO Urban Management Centre,,
18,"Popat says women will absorb the invisible labour of caregiving during heat stress. “Even in extremities women are often the ones cooking, caring for children and compromising on their own food and nutrition making them even more vulnerable.”",Named Person,Nikita Popat,urban expert on homelessness at the NGO Urban Management Centre,,
19,"After the family has finished cooking and eating, Shahida sits on the pavement with Abida, surrounded by children. The afternoon heat has intensified beneath the flyover. “Every passing vehicle throws hot fumes towards us and makes the air even worse,” says Shahida.",Named Person,Shahida,,,"Shahida has lived through these realities for almost her entire 20 years. Sitting beneath a Delhi flyover, where her family sleeps on the pavement under pop-up mosquito nets"
20,"The afternoon passes waiting for the sun to weaken. “Our entire day is spent waiting for evening to come,” Abida says.",Named Person,Abida,,sister,
21,"Abida says falling sick during summer has become routine. “You constantly feel nausea, dizziness, vomiting and diarrhoea,” she says.",Named Person,Abida,,sister,
22,"In such situations, the family visits a local doctor, who sometimes waives consultation fees. But the effects of heat can quickly become severe. Last month, one of Shahida’s sisters was hospitalised after collapsing from dehydration.",Named Person,Shahida,,,"Shahida has lived through these realities for almost her entire 20 years. Sitting beneath a Delhi flyover, where her family sleeps on the pavement under pop-up mosquito nets"
23,"But the heat drains and exhausts them. “I don’t feel like doing anything,” Shahida says. “There’s irritation all the time. You feel angry and restless. Even working feels impossible because your body constantly feels drained.”",Named Person,Shahida,,,"Shahida has lived through these realities for almost her entire 20 years. Sitting beneath a Delhi flyover, where her family sleeps on the pavement under pop-up mosquito nets"
24,"She says the effects are visible in the children too. “After a point, even they stop playing,” Shahida says, looking towards Jannat and the other children sitting quietly. “Sometimes they just sit silently and stare around. Seeing them like that worries us even more.”",Named Person,Shahida,,,"Shahida has lived through these realities for almost her entire 20 years. Sitting beneath a Delhi flyover, where her family sleeps on the pavement under pop-up mosquito nets"
25,"A 2025 study assessing the psychosocial impacts of extreme heat on homeless populations also found behavioural and emotional distress during heatwaves. Nearly 82% of respondents reported heightened anger and irritability, 58% said they felt withdrawn, while nearly 48% reported crying more frequently during periods of extreme heat. Women reported significantly higher levels of emotional distress and psychological exhaustion than men.",Document,,,study,
26,"“We wait for evening to bathe,” Shahida says. “First, because the heat becomes slightly less. And second, bathing is not free for us.”",Named Person,Shahida,,,"Shahida has lived through these realities for almost her entire 20 years. Sitting beneath a Delhi flyover, where her family sleeps on the pavement under pop-up mosquito nets"
27,"A shower at the public toilet costs 10 rupees. Washing earlier, Shahida says, is pointless. “If we bathe in the afternoon, within minutes we are sweating again and covered in dust,” she says. “So we wait till evening to clean ourselves.”",Named Person,Shahida,,,"Shahida has lived through these realities for almost her entire 20 years. Sitting beneath a Delhi flyover, where her family sleeps on the pavement under pop-up mosquito nets"
28,"According to Indu Prakash Singh, a member of the state-level shelter monitoring committee set up by the supreme court of India, living on the streets is often the only option for many families as Delhi faces nearly a 75% deficit in shelter capacity.",Named Person,Indu Prakash Singh,member of the state-level shelter monitoring committee set up by the supreme court of India,,
29,"Barely 200 metres away from where Shahida’s family sleep under the flyover there is a night shelter for homeless women. But, she says, it is “even hotter inside than outside”.",Named Person,Shahida,,,"Shahida has lived through these realities for almost her entire 20 years. Sitting beneath a Delhi flyover, where her family sleeps on the pavement under pop-up mosquito nets"
30,“Who can stay inside those shelters in this heat?” adds Shahida.,Named Person,Shahida,,,"Shahida has lived through these realities for almost her entire 20 years. Sitting beneath a Delhi flyover, where her family sleeps on the pavement under pop-up mosquito nets"
31,"Singh says many shelters in Delhi are portable cabin structures that trap heat. “And in many cases coolers are either inadequate or not functioning,” he says.",Named Person,Indu Prakash Singh,member of the state-level shelter monitoring committee set up by the supreme court of India,,
32,"“Even when your eyes close, your mind stays awake. I need to be always protective of myself and my child,” Shahida says, staring at the endless traffic. “Every day feels like surviving somehow until the next one begins.”",Named Person,Shahida,,,"Shahida has lived through these realities for almost her entire 20 years. Sitting beneath a Delhi flyover, where her family sleeps on the pavement under pop-up mosquito nets"
33,"Looking at her sleeping daughter, she says: “Maybe she is the only hope I still hold on to. Otherwise, I don’t know what is left.”",Named Person,Shahida,,,"Shahida has lived through these realities for almost her entire 20 years. Sitting beneath a Delhi flyover, where her family sleeps on the pavement under pop-up mosquito nets"
