Story,No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Justification
11-Nebraska-felons-crim-justice,12.0,"“When people get out of our system, they’ve got to feel engaged in their community, and the number one way for a person to feel engaged in their community is to be able to vote for the leadership of that community,” he said.",Named Person,Justin Wayne,Democratic state Sen.,The bill’s author
11-Nebraska-felons-crim-justice,13.0,"Wilcot stressed she was speaking as an individual and not on behalf of the university.
",Named Person,Kathy Wilcot,"Member, University of Nebraska Board of Regents",was the lone dissenter from among the nearly 20 witnesses who spoke on Wayne’s bill.
11-Nebraska-felons-crim-justice,14.0,"“I do think that hopefully the waiting period reinforces the fact that voting is something very special, and hopefully that will be part of the things that an individual would consider if they’re tempted to break the law again,” she said.",Named Person,Kathy Wilcot,Member of the University of Nebraska Board of Regents,was the lone dissenter from among the nearly 20 witnesses who spoke on Wayne’s bill.
11-Nebraska-felons-crim-justice,16.0,"King works in the HIV/AIDS field and volunteers at various organizations, but said voting is still the most direct way to be involved and became tearful when talking about being unable to vote.
",Named Person,TJ King,"Outreach specialist, Nebraska AIDS Project","King, 51, fought addiction for years and spent five years in prison after being convicted;  volunteers at various organizations;"
11-Nebraska-felons-crim-justice,17.0,"“I felt so hopeless and helpless not being able to have my voice heard in this last election,” King said. “There are a lot of things that were on the ballot here in Nebraska that hit home with a lot of things that I advocate for.”",Named Person,TJ King,"Outreach specialist, Nebraska AIDS Project","King, 51, fought addiction for years and spent five years in prison after being convicted;  volunteers at various organizations;"
11-Nebraska-felons-crim-justice,18.0,"For the people she works with, being able to register to vote provides a sense of acceptance, especially when there are so many barriers on where they can live, jobs they can work and who they can associate with, she said.",Named Person,Demetrius Gatson,"executive director, Q.U.E.E.N.S Butterfly House","Demetrius Gatson is among the more than 10,000 people in Nebraska who has no right to vote because they haven’t completed their sentences. Because of her probation, she will have to wait until 2030 to vote.

Since her 2018 release, she has obtained graduate degrees and served in a variety of volunteer roles. Now 48, Gatson has set up her own nonprofit and is executive director of Q.U.E.E.N.S Butterfly House, a safe house for women trying to reenter society."
11-Nebraska-felons-crim-justice,19.0,"Gatson said there are critical issues she cares about, including education and criminal justice, but said, “I don’t have a say in anything that goes on in my country because I’m a felon.”",Named Person,Demetrius Gatson,"executive director, Q.U.E.E.N.S Butterfly House","Demetrius Gatson is among the more than 10,000 people in Nebraska who has no right to vote because they haven’t completed their sentences. Because of her probation, she will have to wait until 2030 to vote.

Since her 2018 release, she has obtained graduate degrees and served in a variety of volunteer roles. Now 48, Gatson has set up her own nonprofit and is executive director of Q.U.E.E.N.S Butterfly House, a safe house for women trying to reenter society."
11-Nebraska-felons-crim-justice,20.0,"“You can’t harm society by voting,” he said. “You can only help it.”",Named Person,Steven Scott,,"Steven Scott, 33, was paroled in 2015 after serving more than four years on assault and other charges.  He also has regained voting rights and cast ballots for Republican candidates in his first elections, including 2020. He sees the two-year wait period as one link in a long chain of barriers for those trying to reenter society."
13-pilot-curb-evictions,1.0,"About nine months ago, the two men agreed he could withhold rent until repairs were made, he said.",Named Person,Bryant Woods,,"One day last fall, Bryant Woods’ rotted-out flooring opened up beneath his 11-year-old daughter. Major leaks in the rental home had allowed mold to thrive and rot to set in. In the winters, he was forced to use space heaters or his electric oven to stay warm since the heat didn’t work; For years, Woods’ relationship with his longtime landlord has been deteriorating."
13-pilot-curb-evictions,3.0,"The cash didn’t make it to MALS until February 2024, due to problems with how the County Commission resolution was originally drafted, Henderson said. ",Named Person,Deborah Henderson,Judge,"To reduce such evictions, one of the court’s judges, Deborah Henderson; Shelby County Commissioner Erika Sugarmon; and Cindy Ettingoff, then-CEO of Memphis Area Legal Services, last summer secured $240,000 in the county budget to pilot a pre-litigation mediation program for landlord-tenant disputes.
"
13-pilot-curb-evictions,4.0,But Henderson has been happy with the results since then.,Named Person,Deborah Henderson,Judge,"To reduce such evictions, one of the court’s judges, Deborah Henderson; Shelby County Commissioner Erika Sugarmon; and Cindy Ettingoff, then-CEO of Memphis Area Legal Services, last summer secured $240,000 in the county budget to pilot a pre-litigation mediation program for landlord-tenant disputes.
"
13-pilot-curb-evictions,5.0,"Recently, MALS worked with a woman who was living in a house that “should not be lived in by anyone” and was starting to fall behind on rent, Henderson said. ",Named Person,Deborah Henderson,Judge,"To reduce such evictions, one of the court’s judges, Deborah Henderson; Shelby County Commissioner Erika Sugarmon; and Cindy Ettingoff, then-CEO of Memphis Area Legal Services, last summer secured $240,000 in the county budget to pilot a pre-litigation mediation program for landlord-tenant disputes.
"
13-pilot-curb-evictions,6.0,Though the program has only helped a couple of tenants so far — not 300 — Henderson believes it’s already proving its value. ,Named Person,Deborah Henderson,Judge,"To reduce such evictions, one of the court’s judges, Deborah Henderson; Shelby County Commissioner Erika Sugarmon; and Cindy Ettingoff, then-CEO of Memphis Area Legal Services, last summer secured $240,000 in the county budget to pilot a pre-litigation mediation program for landlord-tenant disputes.
"
13-pilot-curb-evictions,7.0,"There are no income limits or income requirements, If you’re a tenant who is having trouble with your landlord, you need to give us a call. … If you’re a landlord and you have a troublesome tenant … give us a call.",Named Person,Deborah Henderson,Judge,"To drum up more business, Henderson and MALS attorney Cedric Harris, who is leading the program, have been spending a few nights and weekends this summer speaking to churches, on radio shows and at other events. 
"
13-pilot-curb-evictions,8.0,"Nicole Grida, the new MALS CEO, said her team has started creating marketing materials for the program, building partnerships with local nonprofits and screening folks who call in for other services to see if they will fit the program’s criteria, which has resulted in many promising leads.
",Named Person,Nicole Grida,"CEO, MALS",
13-pilot-curb-evictions,9.0,"For the program to succeed, Grida said raising greater awareness will be key, as most Memphians it could help don’t yet know it exists. 
",Named Person,Nicole Grida,"CEO, MALS",
13-pilot-curb-evictions,10.0,"Woods’ case, for instance, sounded like a perfect fit for mediation, Henderson said, if only they’d found him before the eviction was filed. ",Named Person,Deborah Henderson,Judge,"To reduce such evictions, one of the court’s judges, Deborah Henderson; Shelby County Commissioner Erika Sugarmon; and Cindy Ettingoff, then-CEO of Memphis Area Legal Services, last summer secured $240,000 in the county budget to pilot a pre-litigation mediation program for landlord-tenant disputes.
"
13-pilot-curb-evictions,11.0,"“We could have drafted a document that ensured the landlord (followed the verbal agreement),” she said. 
",Named Person,Deborah Henderson,Judge,"To reduce such evictions, one of the court’s judges, Deborah Henderson; Shelby County Commissioner Erika Sugarmon; and Cindy Ettingoff, then-CEO of Memphis Area Legal Services, last summer secured $240,000 in the county budget to pilot a pre-litigation mediation program for landlord-tenant disputes.
"
13-pilot-curb-evictions,12.0,"Thankfully, he found something just in time — a three-bedroom townhouse in Whitehaven with an “undesirable” exterior but is “fairly nice” inside. ",Named Person,Bryant Woods,,
13-pilot-curb-evictions,13.0,"Meanwhile, Grida said MALS is looking for other funders interested in backing the effort.
",Named Person,Nicole Grida,"CEO, MALS","Its leaders are scheduled to present to the County Commission at the end of 2024, in hopes they can receive additional county funding after this first $240,000 runs out in February 2025."
13-pilot-curb-evictions,14.0,"Henderson believes the program will require a much longer pilot period before it’s able to produce the proof necessary to create a housing court. But, despite the rough start, she remains “very hopeful” for its future.
",Named Person,Deborah Henderson,Judge,"To reduce such evictions, one of the court’s judges, Deborah Henderson; Shelby County Commissioner Erika Sugarmon; and Cindy Ettingoff, then-CEO of Memphis Area Legal Services, last summer secured $240,000 in the county budget to pilot a pre-litigation mediation program for landlord-tenant disputes.
"
14-many-police-calls,1.0,"“Jaws dropped,” Jim Baker, a consultant for a state public safety enhancement initiative, recounted at a recent public meeting. “The providers recognized those folks and came to the realization that if they’re falling through the cracks in their system, who ends up dealing with them?”
",Named Person,Jim Baker,"Consultant, state public safety enhancement initiative",recounted at a recent public meeting.
14-many-police-calls,2.0,"“The 20 people that are consuming a lot of resources clearly need some, but they’re not getting the right ones,” Brattleboro Assistant Police Chief Jeremy Evans recently told the town selectboard. “We’re trying to get everything we have out to the service providers so that they can use that data to inform their decision-making.”
",Named Person,Jeremy Evans,Brattleboro Assistant Police Chief,recently told the town selectboard.
14-many-police-calls,3.0,"“Compared to communities your size, you are consistently higher,” Baker, former commander of the Vermont State Police and one-time Rutland City police chief, recently told local leaders of their figures.
",Named Person,Jim Baker,"Consultant, state public safety enhancement initiative",former commander of the Vermont State Police and one-time Rutland City police chief
14-many-police-calls,5.0,"“The disorder we are witnessing, especially in our downtown area, has many causes and impacts,” Evans wrote the selectboard in a recent memorandum. “Not all of these are criminal in nature.”",Named Person,Jeremy Evans,Brattleboro Assistant Police Chief,wrote the selectboard in a recent memorandum.
14-many-police-calls,6.0,"In the case of people receiving no-trespass notices, offenders are barred from locations if their actions “significantly disrupt the ability to provide services,” the assistant police chief said in an interview. 
",Named Person,Jeremy Evans,Brattleboro Assistant Police Chief,
14-many-police-calls,7.0,"“You have a lot of people looking for help,” Evans said, “but there’s a small percentage that, for whatever reason, are unable or unwilling to accept it.”
",Named Person,Jeremy Evans,Brattleboro Assistant Police Chief,
14-many-police-calls,10.0,"“Unfortunately, many of those are providers,” Evans said, “which creates a huge, huge problem.”
",Named Person,Jeremy Evans,Brattleboro Assistant Police Chief,
14-many-police-calls,11.0,"“This is something that we see in a lot of different jurisdictions,” Robin Joy, the Crime Research Group’s statistical director, told local leaders at another meeting.
",Named Person,Robin Joy,"statistical director, Crime Research Group",
14-many-police-calls,12.0,"According to Joy, Brattleboro police calls vary from assaults at 1% to disorderly conduct at 65%.
",Named Person,Robin Joy,"statistical director, Crime Research Group",
14-many-police-calls,13.0,"“This is where the community service providers can really help,” she said of the latter percentage.
",Named Person,Robin Joy,Crime Research Group’s statistical director,
14-many-police-calls,14.0,"But that’s challenging when “the No. 1 thing” the top 20 people are arrested for is trespassing at those places, the researcher added.
",Named Person,Robin Joy,Crime Research Group’s statistical director,
14-many-police-calls,15.0,"“We need to consider our own boundaries around increasing safety and reducing risks,” Groundworks executive director Libby Bennett said upon this April’s first anniversary of the death. “We all understand we’re upholding these out of respect for each other.”
",Named Person,Libby Bennett,"Executive director, Groundworks ","Groundworks Collaborative, for example, helps local people without permanent housing (its outreach team reports contact with 159 such individuals so far this year). But the nonprofit had to strengthen its rules against threatening behavior after the 2023 killing of its shelter coordinator, allegedly by a client who is now in prison and awaiting trial on charges of first-degree murder.
"
14-many-police-calls,17.0,"“All of us area agencies, we are doing everything humanly possible that we can do,” said Christine Allen, executive director of Turning Point of Windham County. “We are so straight out, working our tails off — and we can’t do this without the police.”
",Named Person,Christine Allen,"executive director, Turning Point of Windham County",
14-many-police-calls,18.0,"“It was an epiphany,” Baker said. “When you have 20 people who account for some 5% of calls for service and they’re getting passed from one agency to another, there’s not a level of accountability that needs to happen.”
",Named Person,Jim Baker,"Consultant, state public safety enhancement initiative",
14-many-police-calls,19.0,"“We were looking at real information that made us have some quite difficult conversations,” Quipp said following the session. “Here’s the name of this person who has trespassed at this place, this place, this place, this place, this place and we know that they need these kinds of services. What can we do as a group of people who are working together to try to make a better, safer Brattleboro to actually meet that person’s needs?”
",Named Person,Daniel Quipp,"Chair of the selectboard
","Daniel Quipp attended the providers’ meeting as chair of the selectboard and a staff member of the antipoverty agency Southeastern Vermont Community Action.
"
14-many-police-calls,20.0,"Sharing information, Baker said, “is the first step in holding each other accountable for better outcomes.”
",Named Person,Jim Baker,"Consultant, state public safety enhancement initiative",
14-many-police-calls,21.0,"To that end, the Brattleboro Police Department is creating a Hotspot Evaluation and Analysis Team to extend “in-depth data related to trends, problem locations, safety concerns, and high-volume users of town services,” Evans said in his memo. “It is our hope that this data will provide organizations with more knowledge about where and when their services might be most effectively directed and promote discussion on how to best address concerns.”
",Named Person,Jeremy Evans,Brattleboro Assistant Police Chief,
14-many-police-calls,23.0,"“This points to a need,” Joy said, “to collaborate beyond your borders.”
",Named Person,Robin Joy,Crime Research Group’s statistical director,
15-Newsom-declares-emergency,1.0,"Gov. Gavin Newsom on Tuesday declared a state of emergency for the city of Rancho Palos Verdes ""to protect public safety amid ongoing land movement that has resulted in disrupted utility services and evacuation warnings for impacted residents.""",Named Person,Gavin Newsom,Governor,
15-Newsom-declares-emergency,2.0,"In February, Rancho Palos Verdes Mayor John Cruikshank said a state of emergency declaration from the governor would allow them to bypass state permit requirements for repair efforts.",Named Person,John Cruikshank,Mayor,
15-Newsom-declares-emergency,5.0,"“The land movement has created a dangerous situation, and Edison is deciding to disconnect to keep that community safe,” said Jim Hanggi, a spokesperson for the utility. “It is a fluid situation and we’re working on solutions to keep the power flowing but as conditions change we’ll need to adjust to keep the community safe.”
",Named Person,Jim Hanggi,"Spokesperson, Southern California Edison",
15-Newsom-declares-emergency,8.0,"Gordon Leon told LAist he plans to move into a tiny home on his property and bought four generators to power it. He said he’s had no gas for weeks now, but water is still running. The power in his house has been shut off indefinitely, so his plan is to move off the grid.",Named Person,Gordon Leon,,Others plan to stay.
15-Newsom-declares-emergency,9.0,"Leon said he and his neighbors are just trying to ""figure out how to survive.” Some, he said, are getting ready to leave permanently.",Named Person,Gordon Leon,,
15-Newsom-declares-emergency,10.0,"Leon doesn't want to leave his neighborhood because he loves its beauty and that he gets to look at the ocean every day, he said.",Named Person,Gordon Leon,,
15-Newsom-declares-emergency,12.0,"The city’s mayor, John Cruikshank, told LAist on Monday that Southern California Edison should have done more earlier to transition residents off grid and prevent additional outages. Cruikshank said he’s working with private energy companies — and that he has even reached out to Elon Musk — to figure out how to shift those residents off the grid longer-term.",Named Person,John Cruikshank,Mayor,
15-Newsom-declares-emergency,13.0,"“We’re hearing that our residents want to stay in their homes, and we're doing everything we can to keep them in their homes,” Cruikshank said. “We're going to do everything we can to push the governor and the federal government to provide them funds.”",Named Person,John Cruikshank,Mayor,
16-America's-Sleeping-Giant,2.0,"Columbia University researcher Robert Paul Hartley found that only 46 percent of voters with household income less than twice the federal poverty rate cast a ballot in 2016, as compared to a 68 percent turnout rate for voters who had a household income more than twice the poverty line.",Named Person,Robert Paul Hartley,Columbia University researcher,
16-America's-Sleeping-Giant,3.0,"“They’re saying that they’re not voting because people are not speaking to their issues and that they’re just not interested in those candidates,” Hartley, told the New York Times “But it’s not that they couldn’t be.”",Named Person,Robert Paul Hartley,Columbia University researcher,
16-America's-Sleeping-Giant,4.0,"""In 2024, the election is going to be about mobilization,” Lake told reporters. “There is no question that the biggest contest between the two parties is going to be who can get their voters out to vote. Democrats have an enthusiasm gap today, and the progressive alliance and Democrats have fissures within their constituency that makes getting out the vote even more important. The biggest bloc of potential voters by far is low-income, low-wage voters. Increased participation even by miniscule percentages could be game changers. It is a massive voter engagement that is being started here today.”",Named Person,Celinda Lake,"President, Lake Research Partners","They were joined by respected pollster Celinda Lake, President of Lake Research Partners.
"
16-America's-Sleeping-Giant,7.0,"“For far too long extremists have blamed poor people and low wage people for their plight while moderates too often have ignored poor people, appealing instead to the so-called middle class while the poor and low wage people have become nearly half of this country,” Barber told reporters. “Poor and low wage people have the power to determine and decide the 2024 elections and elections beyond. In the 2016 election there were 34 million poor and low wealth people eligible to vote but didn’t. These voters made up more than a quarter of the electorate.” 
",Named Person,William Barber,Rev.Dr.,
16-America's-Sleeping-Giant,8.0,“Poor and low wage people have the power to determine and decide the 2024 elections and elections beyond. In the 2016 election there were 34 million poor and low wealth people eligible to vote but didn’t. These voters made up more than a quarter of the electorate.”,Named Person,William Barber,Rev.Dr.,
16-America's-Sleeping-Giant,9.0,"“Poverty is now the fourth leading crisis of death in America, a moral crisis in America taking the lives of 800 people a day and this is before and after COVID…These are the issues that must be at the center of the narrative of a democracy in our country. If we are serious about saving the democracy it can’t be some philosophical term. Saving the democracy must be a Third Reconstruction where people are paid a living wage—where people have health care—where public education is fully funded and where voting rights are protected and expanded.”",Named Person,William Barber,Rev.Dr.,
16-America's-Sleeping-Giant,10.0,Barber called out by name eight moderate U.S. Senate Democrats that in 2021 joined with the Republicans to defeat raising the minimum wage to $1 from the $7.25 where it has been stuck since 2009 when Obama was president.,Named Person,William Barber,Rev.Dr.,
16-America's-Sleeping-Giant,12.0,"“We are mobilizing, organizing, registering and educating people for a movement that votes, votes for healthcare and debt cancellation, votes for living wages and string anti-poverty programs and votes for fair taxes and the demilitarizing  of our communities and world,” said Rev. Dr. Liz Theoharis who noted that since the last presidential election close to 1,000 voter suppression bills have been introduced “that impacts poor and low income people the most.”
",Named Person,Liz Theoharis,Rev. Dr. ,
16-America's-Sleeping-Giant,13.0,"""I work for MassHealth as a Personal Care Attendant, helping to take care of people with disabilities and who are sick and need help with their daily activities. But I do not have health insurance myself,” Guzman told reporters.  “I am an essential worker living paycheck-to-paycheck and I have to make decisions every day. Do I put gas in my car or do I pay my bills? Or do I put food on my table?,” said Janice Guzman, an organizer with the. “This is why I am organizing with the Massachusetts Poor People's Campaign. We have got to get our power as people, get back the mic, raise our voices and register voters. Forward together!""
",Named Person,Janice Guzman,"Organizer, Massachusetts Poor People's Campaign ",
17-homelessness-santa-clara,1.0,"Campa’s next goal? To get her son, Sergio, who has been diagnosed with autism spectrum disorder, enrolled in kindergarten.",Named Person,Juanita Campa,,
17-homelessness-santa-clara,2.0,"“He’s a very smart kid,” Campa said. “He listens.”",Named Person,Juanita Campa,,
17-homelessness-santa-clara,3.0,Campa also hopes to move her family into a more permanent living situation.,Named Person,Juanita Campa,,
17-homelessness-santa-clara,6.0,"In the Alum Rock district, Superintendent Imee Almazan said the COVID-19 pandemic exacerbated multiple economic issues that were out of the parents’ and the school district’s control, leading to the increase in homeless youth.",Named Person,Imee Almazan,"Superintendent, Alum Rock District",
17-homelessness-santa-clara,7.0,"“It goes back to economic hardships, loss of jobs, displacement. There’s just a number of reasons why our families are growing in our (homeless youth) population,” Almazan said. “And some of our families haven’t bounced back from that yet.”",Named Person,Imee Almazan,"Superintendent, Alum Rock District",
17-homelessness-santa-clara,8.0,"Maryam Adalat, director of student services at East Side Union High School District, said many families have lost stable housing, their jobs or loved ones who were the family’s main provider since the COVID-19 pandemic.",Named Person,Maryam Adalat,"director of student services, East Side Union High School District",
17-homelessness-santa-clara,9.0,"Adalat said district staff have seen many families facing unstable housing and multiple families living in a household. “We have students who are living in shelters. We actually have foster youth that are unhoused as well,” she said.",Named Person,Maryam Adalat,"director of student services, East Side Union High School District",
17-homelessness-santa-clara,11.0,"Annya Artigas, the director of Social Emotional Learning at the Alum Rock district, said homelessness can affect students inside and outside the classroom. For example, many homeless children struggle to find timely transportation to school, and once they arrive at school, the only meal they may eat is their school lunch.",Named Person,Annya Artigas,"director of Social Emotional Learning, the Alum Rock district",
17-homelessness-santa-clara,12.0,"“There are a number of kids that we knew who were homeless who would show up late. Before we brought them to the classroom, we bring them to the cafeteria and grab them something to eat and grab them some milk so that they can have something in their stomach before they went into the classroom,” she said.",Named Person,Annya Artigas,the director of Social Emotional Learning at the Alum Rock district,
17-homelessness-santa-clara,15.0,"As a result of these different stressors, homeless children may also struggle to stay mentally present in school, Artigas said. Many come to school sleepy, tired and hungry, impacting their ability to function in the classroom.",Named Person,"Annya Artigas,",the director of Social Emotional Learning at the Alum Rock district,
17-homelessness-santa-clara,16.0,"“Whenever a child presents inside a classroom, all of those things come with that child. And all of those things are impacting their ability to engage, their ability to receive information and process it and retain it,” Artigas said.",Named Person,"Annya Artigas,",the director of Social Emotional Learning at the Alum Rock district,
17-homelessness-santa-clara,17.0,"Maureen Smith, a professor who teaches childhood adolescent development at San Jose State University, said children experiencing homelessness without a guardian are also less likely to be enrolled in school. She said some children are forced to leave their homes because of domestic violence or because of their gender or sexual identity.",Named Person,Maureen Smith,"Professor, San Jose State University", professor who teaches childhood adolescent development
17-homelessness-santa-clara,18.0,"“They leave the home really traumatized to begin with, and then they end up on the streets,” Smith said.",Named Person,Maureen Smith,"Professor, San Jose State University", professor who teaches childhood adolescent development
17-homelessness-santa-clara,19.0,"Back on the East Side, Campa said Sergio will be able to go to school soon, but she doesn’t
know when. She’s waited for more than two months to get a phone call back from the
McKinley-Franklin and San Jose Unified school districts. She started filing Sergio’s
paperwork over a year ago.",Named Person,Juanita Campa,,
17-homelessness-santa-clara,20.0,"“I felt like I wasn’t doing my job as a mom because we’re homeless,” she said “We were working but it wasn’t enough. ... I don’t want to be back here.”",Named Person,Juanita Campa,,She doesn’t like to think about how her family used to live in the Jungle. Now she has less than 90 days remaining at the hotel.
18-wyoming-primary-dems,3.0,"“Normally I just roll my eyes and walk away because I’m fighting a losing battle and I’m fully aware of that,” she said. “Maybe that is why I’m well-liked, because I keep my mouth shut 10 times more than I want to.”
",Named Person,Becky Blackburn ,,"A paralegal for the Republican county attorney, Blackburn hears a lot of right-wing views around town."
18-wyoming-primary-dems,4.0,"She speaks approvingly of policing reform, taxation for government services and the transgender social media celebrity Dylan Mulvaney.
",Named Person,Becky Blackburn ,,"A paralegal for the Republican county attorney, Blackburn hears a lot of right-wing views around town."
18-wyoming-primary-dems,5.0,"“I won two elections here. Even though that’s nonpartisan, people still knew I had left-leaning values,”",Named Person,Becky Blackburn ,,"Maybe because she’s open about those views — and far too outnumbered to put them into action — Blackburn really does seem well-liked in Lusk, where she recently served nine years on the Town Council.
"
18-wyoming-primary-dems,6.0,"You feel skeevy and dirty when you do it. But you do it anyway and you change it back as soon as you can, because you don’t want to start getting the Republican mailings,”",Named Person,Becky Blackburn ,,"many Democrats have been switching their registration to vote in more competitive Republican primaries, then changing back for the general election.
"
18-wyoming-primary-dems,7.0,"Party-switching had “undermined the sanctity of Wyoming’s primary process,” Wyoming’s Republican secretary of state, Chuck Gray, said in a statement of approval.",Named Person,Chuck Gray,Wyoming Secretary of State,"Wyoming’s Republican secretary of state, Chuck Gray, said in a statement of approval.
"
18-wyoming-primary-dems,8.0,"“How far are they going to go to limit one’s ability to vote? If it really comes down to purifying the party, on a voting level all the way up to the elected officials, pretty soon there isn’t going to be anyone left who’s pure enough to be in the party,” Diercks said.
",Named Person,Ross Diercks,Former Democratic state representative,"The new law keeping Diercks and others from switching their registration so easily has him exasperated with the GOP.
"
18-wyoming-primary-dems,9.0,"Truck driver Pat Jordan supports many left-leaning goals, including universal healthcare, but said he only registers as a Republican.
",Named Person,Pat Jordan,,Truck driver Pat Jordan supports many left-leaning goals
18-wyoming-primary-dems,10.0,"“The best way to participate in meaningful change is to try to sway the dominant party,” said Jordan, who lives in Niobrara County. “You know, we need to have a government that serves the people, all of them, not just Republicans and not just rural and not just urban and not just Democrats — and definitely not just the rich and the wealthy.”
",Named Person,Pat Jordan,,Truck driver Pat Jordan supports many left-leaning goals
18-wyoming-primary-dems,11.0,"He said people know his views but rarely put him on the spot about politics.
",Named Person,Ed Fullmer,high school boys basketball team coach,"Last winter, dozens of locals gathered outside to honk and cheer as one Democrat left town. But they weren’t cheering as Ed Fullmer was headed off for good.
"
18-wyoming-primary-dems,12.0,"“Most people don’t want to dive into those type of discussions,” he said. “They respect you for what you do, how you work.”
",Named Person,Ed Fullmer,high school boys basketball team coach,"Last winter, dozens of locals gathered outside to honk and cheer as one Democrat left town. But they weren’t cheering as Ed Fullmer was headed off for good.
"
18-wyoming-primary-dems,13.0,"“I am who I am, and I have the views that I have,” she said. “And I don’t care if it bothers people or not.”
",Named Person,Becky Blackburn ,,"Blackburn, for one, intends to hold her political ground, even as it shrinks around her.
"
19-oakland-sues-SW-airlines,2.0,"The city attorney claims that Southwest’s violations have potentially affected thousands of workers.  
",Named Person,Barbara Parker,City Attorney,
