Story,No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Justification
23-black-landowners-11mins,15,"“I truly hate to have to say this, but if David v. Goliath had been decided by the GA Public Service Commission, they’d have confiscated David’s slingshot and handed it to the Philistines,” Fyre wrote.",Document,letter,,Georgia state Rep. Spencer Fyre sent a letter to the commission 
25-ballot-access-trans,1,"In Kansas, lawyers for the American Civil Liberties Union have drafted a letter reminding election workers that a gender marker on a person’s identification does not need to match or correspond to a voter’s gender expression.",Document,Letter,,Staff for the organization have also held clinics elsewhere to prepare trans Americans for the identification requirements they will have to navigate.
25-ballot-access-trans,7,"An analysis released in August of respondents to the 2022 U.S. Transgender Survey, widely seen as the most comprehensive study of binary and nonbinary transgender Americans, found that voting-eligible trans people had cast ballots in the last presidential election at a higher rate than the U.S. population. The study included more than 92,000 respondents, including more than 84,000 adults who were 18 and older.",Document,,,
25-ballot-access-trans,11,"Last year, Tennessee Gov. Bill Lee, a Republican, signed a bill into law that defines sex as “determined by anatomy and genetics existing at the time of birth.” ",Document,Bill,,
25-ballot-access-trans,19,"In Florida, which has emerged as a national epicenter of policies targeting LGBTQ+ people in recent years, the state’s Department of Highway Safety and Motor Vehicles issued a new regulation barring residents from updating their gender identity on their drivers’ license.
",Document,regulation,,
29-tim-scott-deregulate,1,"""Housing policy is inherently local, and federal legislators should encourage local solutions to local problems,"" reads the press release on the bill.",Document,Press release,,"Unlike the slew of federal YIMBY (Yes in my backyard) bills that have been introduced in recent years, Scott's bill doesn't try to poke, prod, or bribe local and state governments into liberalizing their zoning codes. "
29-tim-scott-deregulate,2,"Nevertheless, the bill does include at least one idea to increase housing supply. That includes a repeal of the federal regulation requiring that manufactured housing sit on a permanent steel chassis.",Document,Renewing Opportunity in the American Dream (ROAD) to Housing Act,,
29-tim-scott-deregulate,4,"Scott's bill would also repeal the cap on the number of public housing units that can be ""converted"" to other types of subsidized affordable housing under HUD's Rent Assistance Demonstration (RAD) program.",Document,Renewing Opportunity in the American Dream (ROAD) to Housing Act,,
29-tim-scott-deregulate,11,"""We find that new construction differentially declined in the upzoned, affordability-mandated areas,"" they write. ""Developers intentionally avoided MHA-zoned areas – despite their upzoning– opting instead to build on nearby blocks without affordability requirements.""",Document,new study,,"Earlier this month, researchers Jacob Krimmel and Betty X. Wang published a new study confirming the complaints of MHA's critics."
29-tim-scott-deregulate,12,"The difference in construction rates between MHA and non-MHA blocks is as much as 70 percent, they found.",Document,new study,,"Earlier this month, researchers Jacob Krimmel and Betty X. Wang published a new study confirming the complaints of MHA's critics."
3-SF renewed-sweeps,2,"Despite Public Works’ policy and procedure for documenting, bagging, and tagging most belongings",Document,Public Works Policy,,
3-SF renewed-sweeps,6,"A federal survey released in May counted more than 8,000 unhoused people in the city, which has fewer than 4,000 shelter beds to offer.",Document,Federal Survey,,
3-SF renewed-sweeps,7,"According to Public Works policy, staff are supposed to provide the resident of an encampment a “reasonable amount of time (approximately 30 minutes)” to sort through and collect their belongings before the camp is torn down. ",Document,Public Works Policy,,
3-SF renewed-sweeps,25,There were 178 people on the Department of Homelessness and Supportive Housing’s online waitlist for shelter on Monday afternoon.,Document,Online waitlist,,
30-la-lower-rent-hikes,2,"The independent analysis found some of the city’s rules governing rent increases have favored landlords over tenants. The report recommends changes that could lower the rent hikes tenants face each year, setting up what is sure to be a fierce debate at city hall.",Document,Economic Roundtable,,"Four months later, the city still has not released it publicly. LAist obtained the report through a public records request; Under state public records law, preliminary drafts must be released if they are retained in the ordinary course of business, as this one has been."
30-la-lower-rent-hikes,3,"Over the course of 193 pages, the report offers an extensive analysis of the L.A. rental housing market, challenges facing both tenants and landlords, and the impact of the city’s Rent Stabilization Ordinance.",Document,Economic Roundtable,,"Four months later, the city still has not released it publicly. LAist obtained the report through a public records request; Under state public records law, preliminary drafts must be released if they are retained in the ordinary course of business, as this one has been."
30-la-lower-rent-hikes,4,"About 35% of the rent L.A. tenants pay goes to operating expenses for apartment buildings, on average. This includes maintenance, utilities, insurance, payroll and other routine costs. Landlords can use the remainder to cover mortgages and turn a profit.",Document,Economic Roundtable,,"Four months later, the city still has not released it publicly. LAist obtained the report through a public records request; Under state public records law, preliminary drafts must be released if they are retained in the ordinary course of business, as this one has been."
30-la-lower-rent-hikes,5,"From January 2020 through January 2023, 4 in 10 rent-controlled L.A. apartments became vacant. When a tenant leaves a rent-controlled unit, the city’s rules allow landlords to raise rents to market rates. These higher rents helped landlords absorb the impact of a nearly four-year freeze on rent hikes.",Document,Economic Roundtable,,"Four months later, the city still has not released it publicly. LAist obtained the report through a public records request; Under state public records law, preliminary drafts must be released if they are retained in the ordinary course of business, as this one has been."
30-la-lower-rent-hikes,6,"Many expenses have risen sharply for landlords in recent years, outpacing inflation. Property insurance costs have roughly doubled since 2020. However, the report notes these expenses make up a relatively small portion of overall costs.",Document,Economic Roundtable,,"Four months later, the city still has not released it publicly. LAist obtained the report through a public records request; Under state public records law, preliminary drafts must be released if they are retained in the ordinary course of business, as this one has been."
30-la-lower-rent-hikes,7,"About one-fifth of L.A. renters are living below the federal poverty line. According to U.S. Census data, just over half of those renters spend 90% of their income or more on rent. Rent increases can leave these low-income renters vulnerable to displacement and homelessness.",Document,Economic Roundtable,,"Four months later, the city still has not released it publicly. LAist obtained the report through a public records request; Under state public records law, preliminary drafts must be released if they are retained in the ordinary course of business, as this one has been."
30-la-lower-rent-hikes,8,The city’s current range of allowable annual rent increases — anywhere from 3% to 8% depending on inflation — is higher than the increases permitted in most other California cities with rent control.,Document,Economic Roundtable,,"Four months later, the city still has not released it publicly. LAist obtained the report through a public records request; Under state public records law, preliminary drafts must be released if they are retained in the ordinary course of business, as this one has been."
30-la-lower-rent-hikes,9,"Either eliminate a provision allowing landlords to raise rents an extra 1% per year if they pay for a tenant’s gas, plus another 1% if they pay for electricity — or replace it. The report estimates each 1% increase could raise rents an additional $150 to $240 per month after 10 years, more than the actual cost of providing those utilities. One option, the report says, would be to instead use a surcharge that better captures the increased costs of providing those utilities.",Document,Economic Roundtable,,"Four months later, the city still has not released it publicly. LAist obtained the report through a public records request; Under state public records law, preliminary drafts must be released if they are retained in the ordinary course of business, as this one has been."
30-la-lower-rent-hikes,10,"The report recommends considering changing which version of the consumer price index is used to calculate allowable increased to one that excludes housing costs, shown as ""Less Shelter"" in the chart above.",Document,Economic Roundtable,,"Four months later, the city still has not released it publicly. LAist obtained the report through a public records request; Under state public records law, preliminary drafts must be released if they are retained in the ordinary course of business, as this one has been."
30-la-lower-rent-hikes,11,"Change how annual rent increases are calculated. Instead of using a version of the consumer price index driven to a large degree by housing cost inflation, the report recommends a different index that excludes housing costs. The report argues this would stop the feedback loop of allowing high housing inflation to create further housing inflation.",Document,Economic Roundtable,,"Four months later, the city still has not released it publicly. LAist obtained the report through a public records request; Under state public records law, preliminary drafts must be released if they are retained in the ordinary course of business, as this one has been."
30-la-lower-rent-hikes,27,"The report notes that because L.A. has a 3% floor on annual increases — even in years when the consumer price index is lower — landlords have often been allowed to raise rents above inflation. Between 2010 and 2020, the consumer price index in L.A. rose 21%. During the same period, rents in rent-controlled L.A. apartments were allowed to rise 36%.",Document,Economic Roundtable,,"Four months later, the city still has not released it publicly. LAist obtained the report through a public records request; Under state public records law, preliminary drafts must be released if they are retained in the ordinary course of business, as this one has been."
30-la-lower-rent-hikes,28,"On the other hand, the report finds that landlords have faced unique challenges — particularly during the COVID-19 pandemic.",Document,Economic Roundtable,,"Four months later, the city still has not released it publicly. LAist obtained the report through a public records request; Under state public records law, preliminary drafts must be released if they are retained in the ordinary course of business, as this one has been."
30-la-lower-rent-hikes,29,The report also notes that high turnover helped landlords raise rents to market rates and keep rental income nearly at pace with inflation.,Document,Economic Roundtable,,"Four months later, the city still has not released it publicly. LAist obtained the report through a public records request; Under state public records law, preliminary drafts must be released if they are retained in the ordinary course of business, as this one has been."
30-la-lower-rent-hikes,35,"The report recommends the city instead target aid to small landlords, rather than allowing additional rent increases on tenants.",Document,Economic Roundtable,,"Four months later, the city still has not released it publicly. LAist obtained the report through a public records request; Under state public records law, preliminary drafts must be released if they are retained in the ordinary course of business, as this one has been."
32-openai_board,2,"Mr. Altman complained that the research paper seemed to criticize OpenAI’s efforts to keep its A.I. technologies safe while praising the approach taken by Anthropic, a company that has become OpenAI’s biggest rival, according to an email that Mr. Altman wrote to colleagues and that was viewed by The New York Times.
",Document,,,according to an email that Mr. Altman wrote to colleagues and that was viewed by The New York Times
32-openai_board,3,"In the email, Mr. Altman said that he had reprimanded Ms. Toner for the paper and that it was dangerous to the company, particularly at a time, he added, when the Federal Trade Commission was investigating OpenAI over the data used to build its technology.
",Document,,,according to an email that Mr. Altman wrote to colleagues and that was viewed by The New York Times
32-openai_board,4,"“I did not feel we’re on the same page on the damage of all this,” he wrote in the email. “Any amount of criticism from a board member carries a lot of weight.”
",Document,,,according to an email that Mr. Altman wrote to colleagues and that was viewed by The New York Times
32-openai_board,7,The statement he read to Mr. Altman said that Mr. Altman was being fired because he wasn’t “consistently candid in his communications with the board.”,Document,,,
33-human-border_patrol_towers,1,"U.S. Customs and Border Protection plans to spend about $67.8 million acquiring 277 new surveillance towers and upgrading 191 existing towers along the entire 2,000-mile-long border over the next 14 years, the most recent federal contracts show. ",Document,Federal contracts,,The spending comes as the Biden Administration is facing increased political pressure — from leaders in the Republican and Democratic parties — to take action at the border after illegal crossings soared to record highs last year. 
33-human-border_patrol_towers,2,"The agency has received more than $700 million in funding for surveillance since fiscal year 2017, according to a 2021 report by the Office of Inspector General. ",Document,2021 report,,according to a 2021 report by the Office of Inspector General. 
33-human-border_patrol_towers,8,"The Department of Homeland Security “has also acknowledged the need for better coordination, communication, and oversight,” it said in its 2021 report on its border technology.",Document,2021 report,,it said in its 2021 report on its border technology.
33-human-border_patrol_towers,23,"On a recent episode of The Border Chronicles podcast, Pinheiro questioned how some $1.4 billion allocated by the federal government to border agencies at the end of Title 42 was spent. ",Document,Border Chronicles,executive director of Al Otro Lado,
37-DogWalker,4,"According to the charges, Haynes carjacked Dalton while she was parked along Martin Luther King Jr. Way East in the Madison Valley neighborhood. Dalton had just picked up several dogs as part of her dog-walking business ""Grandma's Critter Care.""",Document,,,
37-DogWalker,8,"According to the charges, Haynes had Dalton's car keys on him at the time of arrest, along with a knife that had blood and animal hair on it.",Document,,,
38-UC-enrollment,5,"About 50 members of the Assembly signed letters opposing the proposed university cuts, the meeting agenda said.",Document,,Meeting agenda ,
38-UC-enrollment,6,"“However, given numerous General Fund pressures facing the state, it is unclear whether the Legislature will have the ability to restore the cuts,” the agenda for today’s hearing said.",Document,,Meeting agenda ,
41-Christians-K12,1,"“What up, n*gger!” he says.",Document,,,"The viral video, recorded in what looks like a high school cafeteria, starts innocuously enough. Jeremiah Mason — a Black student at Fresno Christian Schools in Fresno, California —  munching on chicken fingers. Then, another student walks in and greets Mason.
"
41-Christians-K12,5,"Last fall, a Black student filed suit against his prestigious private Christian academy in Westlake Village, also in suburban Los Angeles. The student alleged years of racial harassment from peers, including the use of the N‑word, a mock slave auction in the cafeteria, threats of lynching, and even a whipping sound app used to intimidate him. The lawsuit claims staff witnessed some incidents but failed to intervene effectively.",Document,,,suit against his prestigious private Christian academy in Westlake Village
41-Christians-K12,6,"And in Kentucky in 2023, a federal lawsuit filed against the Diocese of Covington alleged a Black eighth grader at St. Joseph Catholic School was harassed with racial slurs by a teacher, including the use of the N-word during a lesson. The teacher then allegedly retaliated against the girl for reporting the behavior, and she was denied Communion during Mass.",Document,a federal lawsuit,, filed against the Diocese of Covington
42-Uber-Lyft-CA,1,They eventually scored a victory in the Castellanos v. State of California case that said the ballot measure couldn’t prevent future legislation to allow rideshare drivers to unionize.,Document,Castellanos v. State of California case,,labor advocates began contesting certain aspects of the legislation in court. 
42-Uber-Lyft-CA,2,"They ultimately won a major victory in Castellanos v. State of California, where the court ruled that Prop. 22 could not block future legislation allowing rideshare drivers to unionize.",Document,Castellanos v. State of California,,labor advocates challenged parts of the measure in court. 
43-Chicago-immigration,5,That visit triggered an email to Peyton from the Justice Department that stated judges “should not directly communicate with members of Congress and congressional staff.” ,Document,,,"Peyton was fired on July 3 via email, about two weeks after Durbin met with her at a Chicago immigration court. "
43-Chicago-immigration,11,Her notice said she had been dismissed at the end of a two-year probationary period.,Document,,,
5-Humboldt-SF-homeless-bus,2,"“We were dismayed to learn that our small, rural county was among the top three destinations in the state where people experiencing homelessness were sent by the program,” states a draft of the letter to San Francisco Mayor London Breed that can be seen on the Humboldt County website.",Document,Humboldt County,,a draft of the letter to San Francisco Mayor London Breed
5-Humboldt-SF-homeless-bus,7,"“We are concerned that providing bus tickets to other jurisdictions without verifying access to housing, family support or employment does not alleviate homelessness; it simply shifts the person to another county,”",Document,Humboldt County,,a draft of the letter to San Francisco Mayor London Breed
5-Humboldt-SF-homeless-bus,8,“We urge you to ensure that Journey Home participants have the support they need to obtain housing and employment before they receive transportation assistance to Humboldt County. Let’s act together in partnership to alleviate homelessness throughout our state.”,Document,Humboldt County,,a draft of the letter to San Francisco Mayor London Breed
6-OUSD-basic-job,1,"An average of two months passed between when Oakland schools were tested for lead this spring and when those school communities were notified of high lead levels in August, according to a report from this week’s Oakland Unified school board meeting.",Document,Oakland Unified School Board ,,
6-OUSD-basic-job,12,The district’s safe drinking water policy states that any water sources showing lead at above 5 parts per billion must be taken offline and repaired. ,Document,District's safe drinking water policy,,
6-OUSD-basic-job,18,"At the 40 schools that were tested in the spring, fixes are underway for 186 fountains and faucets that had elevated lead levels. In stage two, 15 elementary schools were tested between Aug. 17 and Aug. 22, requiring six fixtures to be repaired, according to the report.",Document,Oakland Unified School Board ,,
6-OUSD-basic-job,19,"Stage three includes schools with older and newer buildings that have not been tested, and at those sites students will be directed not to use water fountains in the older buildings or to use FloWater water bottle filling stations until they can be tested. Schools with buildings constructed after 2010 will be tested as part of the fourth stage in November and December, and in stage 5 OUSD’s early childhood centers will be tested every five years.",Document,Oakland Unified School Board ,,
7-District7-Candidate-Sues,3,"A prospective District 7 councilmember sued the Alameda County Registrar of Voters last week, saying in a petition that three of her supporters’ signatures required to qualify for the ballot were incorrectly discounted due to “minor technical errors.” 

",Document,Petition,,
7-District7-Candidate-Sues,7,"Under the Voter’s Choice Act, registered voters on Election Day can cast their ballots at any vote center in Alameda County.",Document,Voter's Choice Act,,
